compte_courant,duree_emprunt_mois,historique_credit,raison,montant,compte_epargne,duree_emploi,annees_presence_logement,age,autre_credit,logement,nbre_emprunts_actuels,job,dependants,telephone,defaillant,revenufinal
< 0 Euro,6,critique,ameublement,1169,inconnu,> 7 annees,4.0,67.0,aucun,proprietaire,2,qualifie,1,oui,non,8135.1101404539
1 - 200 Euro,48,bon,ameublement,5951,< 100 Euro,1 - 4 annees,2.0,22.0,aucun,proprietaire,1,qualifie,1,oui,oui,19334.307686113898
inconnu,12,critique,education,2096,< 100 Euro,4 - 7 annees,3.0,49.0,aucun,proprietaire,1,non_qualifie,2,oui,non,4864.954258098111
< 0 Euro,42,bon,ameublement,7882,< 100 Euro,4 - 7 annees,4.0,45.0,aucun,autre,1,qualifie,2,oui,non,22152.947349424903
< 0 Euro,24,pauvre,auto,4870,< 100 Euro,1 - 4 annees,4.0,53.0,aucun,autre,2,qualifie,2,oui,oui,23900.7041442591
inconnu,36,bon,education,9055,inconnu,1 - 4 annees,4.0,35.0,aucun,autre,1,non_qualifie,2,oui,non,26469.9961397297
inconnu,24,bon,ameublement,2835,500 - 1000 Euro,> 7 annees,4.0,53.0,aucun,proprietaire,1,qualifie,1,oui,non,12394.514241571102
1 - 200 Euro,36,bon,auto,6948,< 100 Euro,1 - 4 annees,2.0,35.0,aucun,locataire,1,management,1,oui,non,15059.9071605252
inconnu,12,bon,ameublement,3059,> 1000 Euro,4 - 7 annees,4.0,61.0,aucun,proprietaire,1,non_qualifie,1,oui,non,7763.509303174559
1 - 200 Euro,30,critique,auto,5234,< 100 Euro,chomeur,2.0,28.0,aucun,proprietaire,2,management,1,oui,oui,37363.9142890886
1 - 200 Euro,12,bon,auto,1295,< 100 Euro,< 1 annee,1.0,25.0,aucun,locataire,1,qualifie,1,oui,oui,4457.18540012166
< 0 Euro,48,bon,business,4308,< 100 Euro,< 1 annee,4.0,24.0,aucun,locataire,1,qualifie,1,oui,oui,19359.7713086048
1 - 200 Euro,12,bon,ameublement,1567,< 100 Euro,1 - 4 annees,1.0,22.0,aucun,proprietaire,1,qualifie,1,oui,non,2617.59215892269
< 0 Euro,24,critique,auto,1199,< 100 Euro,> 7 annees,4.0,60.0,aucun,proprietaire,2,non_qualifie,1,oui,oui,6734.966677762071
< 0 Euro,15,bon,auto,1403,< 100 Euro,1 - 4 annees,4.0,28.0,aucun,locataire,1,qualifie,1,oui,non,3905.386104780589
< 0 Euro,24,bon,ameublement,1282,100 - 500 Euro,1 - 4 annees,2.0,32.0,aucun,proprietaire,1,non_qualifie,1,oui,oui,6912.02869215106
inconnu,24,critique,ameublement,2424,inconnu,> 7 annees,4.0,53.0,aucun,proprietaire,2,qualifie,1,oui,non,15459.8370802168
< 0 Euro,30,parfait,business,8072,inconnu,< 1 annee,3.0,25.0,banque,proprietaire,3,qualifie,1,oui,non,20873.1297682626
1 - 200 Euro,24,bon,auto,12579,< 100 Euro,> 7 annees,2.0,44.0,aucun,autre,1,management,1,oui,oui,79354.5273661655
inconnu,24,bon,ameublement,3430,500 - 1000 Euro,> 7 annees,2.0,31.0,aucun,proprietaire,1,qualifie,2,oui,non,17964.7216981832
inconnu,9,critique,auto,2134,< 100 Euro,1 - 4 annees,4.0,48.0,aucun,proprietaire,3,qualifie,1,oui,non,13512.2811526855
< 0 Euro,6,bon,ameublement,2647,500 - 1000 Euro,1 - 4 annees,3.0,44.0,aucun,locataire,1,qualifie,2,oui,non,8505.037351915269
< 0 Euro,10,critique,auto,2241,< 100 Euro,< 1 annee,3.0,48.0,aucun,locataire,2,non_qualifie,2,oui,non,3844.2578602541107
1 - 200 Euro,12,critique,auto,1804,100 - 500 Euro,< 1 annee,4.0,44.0,aucun,proprietaire,1,qualifie,1,oui,non,7675.76130755445
inconnu,10,critique,ameublement,2069,inconnu,1 - 4 annees,1.0,26.0,aucun,proprietaire,2,qualifie,1,oui,non,6092.35940561031
< 0 Euro,6,bon,ameublement,1374,< 100 Euro,1 - 4 annees,2.0,36.0,banque,proprietaire,1,non_qualifie,1,oui,non,1992.7453063075
inconnu,6,parfait,ameublement,426,< 100 Euro,> 7 annees,4.0,39.0,aucun,proprietaire,1,non_qualifie,1,oui,non,1972.95253636383
> 200 Euro,12,tres bon,ameublement,409,> 1000 Euro,1 - 4 annees,3.0,42.0,aucun,locataire,2,qualifie,1,oui,non,2188.61085286844
1 - 200 Euro,7,bon,ameublement,2415,< 100 Euro,1 - 4 annees,2.0,34.0,aucun,proprietaire,1,qualifie,1,oui,non,9889.28551710771
inconnu,7,critique,ameublement,1280,< 100 Euro,> 7 annes,,,2,qualifie,1,oui,oui,oui,,6584.168778426421
1 - 200 Euro,18,bon,business,1913,> 1000 Euro,< 1 annee,3.0,36.0,banque,proprietaire,1,qualifie,1,oui,non,8216.42927041139
< 0 Euro,24,bon,ameublement,4020,< 100 Euro,1 - 4 annees,2.0,27.0,magasin,proprietaire,1,qualifie,1,oui,non,10580.7929486664
1 - 200 Euro,18,bon,auto,5866,100 - 500 Euro,1 - 4 annees,2.0,30.0,aucun,proprietaire,2,qualifie,1,oui,non,17582.9853032277
inconnu,12,critique,business,1264,inconnu,> 7 annees,4.0,57.0,aucun,locataire,1,non_qualifie,1,oui,non,5541.9892882680115
> 200 Euro,12,bon,ameublement,1474,< 100 Euro,< 1 annee,1.0,33.0,banque,proprietaire,1,management,1,oui,non,8317.383728455301
1 - 200 Euro,45,critique,ameublement,4746,< 100 Euro,< 1 annee,2.0,25.0,aucun,proprietaire,2,non_qualifie,1,oui,oui,23798.0207675334
inconnu,48,critique,education,6110,< 100 Euro,1 - 4 annees,3.0,31.0,banque,autre,1,qualifie,1,oui,non,6630.7491375903
> 200 Euro,18,bon,ameublement,2100,< 100 Euro,1 - 4 annees,2.0,37.0,magasin,proprietaire,1,qualifie,1,oui,oui,11585.315596028899
> 200 Euro,10,bon,ameublement,1225,< 100 Euro,1 - 4 annees,2.0,37.0,aucun,proprietaire,1,qualifie,1,oui,non,3642.52327013749
1 - 200 Euro,9,bon,ameublement,458,< 100 Euro,1 - 4 annees,3.0,24.0,aucun,proprietaire,1,qualifie,1,oui,non,2837.21116865334
inconnu,30,bon,ameublement,2333,500 - 1000 Euro,> 7 annees,2.0,30.0,banque,proprietaire,1,management,1,oui,non,13492.390794610901
1 - 200 Euro,12,bon,ameublement,1158,500 - 1000 Euro,1 - 4 annees,1.0,26.0,aucun,proprietaire,1,qualifie,1,oui,non,5571.73724158991
1 - 200 Euro,18,pauvre,renonvations,6204,< 100 Euro,1 - 4 annees,4.0,44.0,aucun,proprietaire,1,non_qualifie,2,oui,non,18258.6157975445
< 0 Euro,30,critique,auto,6187,100 - 500 Euro,4 - 7 annees,4.0,24.0,aucun,locataire,2,qualifie,1,oui,non,7471.631407562959
< 0 Euro,48,critique,auto,6143,< 100 Euro,> 7 annees,4.0,58.0,magasin,autre,2,non_qualifie,1,oui,oui,29070.6573874593
inconnu,11,critique,auto,1393,< 100 Euro,< 1 annee,4.0,35.0,aucun,proprietaire,2,management,1,oui,non,7752.577975319591
inconnu,36,bon,ameublement,2299,500 - 1000 Euro,> 7 annees,4.0,39.0,aucun,proprietaire,1,qualifie,1,oui,non,15309.5722615688
< 0 Euro,6,bon,auto,1352,500 - 1000 Euro,chomeur,2.0,23.0,aucun,locataire,1,chomeur,1,oui,non,2156.5478287827104
inconnu,11,critique,auto,7228,< 100 Euro,1 - 4 annees,4.0,39.0,aucun,proprietaire,2,non_qualifie,1,oui,non,8044.71998233428
inconnu,12,bon,ameublement,2073,100 - 500 Euro,1 - 4 annees,2.0,28.0,aucun,proprietaire,1,qualifie,1,oui,non,11091.325496879399
1 - 200 Euro,24,pauvre,ameublement,2333,inconnu,< 1 annee,2.0,29.0,banque,proprietaire,1,non_qualifie,1,oui,non,15989.548350841202
1 - 200 Euro,27,pauvre,auto,5965,< 100 Euro,> 7 annees,2.0,30.0,aucun,proprietaire,2,management,1,oui,non,10027.9328460545
inconnu,12,bon,ameublement,1262,< 100 Euro,1 - 4 annees,2.0,25.0,aucun,proprietaire,1,qualifie,1,oui,non,5573.67656237053
inconnu,18,bon,auto,3378,inconnu,1 - 4 annees,1.0,31.0,aucun,proprietaire,1,qualifie,1,oui,non,8742.1843996575
1 - 200 Euro,36,pauvre,auto,2225,< 100 Euro,> 7 annees,4.0,57.0,banque,autre,2,qualifie,1,oui,oui,10610.0467491118
inconnu,6,tres bon,auto,783,inconnu,1 - 4 annees,2.0,26.0,magasin,proprietaire,1,non_qualifie,2,oui,non,855.840847919736
1 - 200 Euro,12,bon,ameublement,6468,inconnu,chomeur,1.0,52.0,aucun,proprietaire,1,management,1,oui,oui,16773.1990989024
inconnu,36,critique,ameublement,9566,< 100 Euro,1 - 4 annees,2.0,31.0,magasin,proprietaire,2,qualifie,1,oui,non,31688.1954599279
> 200 Euro,18,bon,auto,1961,< 100 Euro,> 7 annees,2.0,23.0,aucun,proprietaire,1,management,1,oui,non,10200.5284024879
< 0 Euro,36,critique,ameublement,6229,< 100 Euro,< 1 annee,4.0,23.0,aucun,locataire,2,non_qualifie,1,oui,oui,40920.0536399825
1 - 200 Euro,9,bon,business,1391,< 100 Euro,1 - 4 annees,1.0,27.0,banque,proprietaire,1,qualifie,1,oui,non,4492.96036248544
1 - 200 Euro,15,critique,ameublement,1537,inconnu,> 7 annees,4.0,50.0,aucun,proprietaire,2,qualifie,1,oui,non,7517.64444039093
1 - 200 Euro,36,parfait,business,1953,< 100 Euro,> 7 annees,4.0,61.0,aucun,autre,1,management,1,oui,oui,12455.773269957199
1 - 200 Euro,48,parfait,business,14421,< 100 Euro,1 - 4 annees,2.0,25.0,aucun,proprietaire,1,qualifie,1,oui,oui,41952.819310991
inconnu,24,bon,ameublement,3181,< 100 Euro,< 1 annee,4.0,26.0,aucun,proprietaire,1,qualifie,1,oui,non,13398.1807795647
inconnu,27,bon,renonvations,5190,inconnu,> 7 annees,4.0,48.0,aucun,proprietaire,4,qualifie,2,oui,non,33883.2476228769
inconnu,12,bon,ameublement,2171,< 100 Euro,< 1 annee,2.0,29.0,banque,proprietaire,1,qualifie,1,oui,non,5454.82969209616
